timestamp,speed,throttle,brake,rpm
16-May-2025 14:40:17,255,100,0,179
16-May-2025 14:40:17,170,0,100,87
16-May-2025 14:40:17,84,0,100,166
16-May-2025 14:40:18,116,65,0,72
16-May-2025 14:40:18,221,99,0,81
16-May-2025 14:40:18,158,0,100,46
16-May-2025 14:40:18,150,52,0,161
16-May-2025 14:40:18,235,99,0,128
16-May-2025 14:40:18,255,99,0,222
16-May-2025 14:40:18,102,0,0,29
16-May-2025 14:40:18,152,72,0,178
16-May-2025 14:40:18,237,99,0,57
16-May-2025 14:40:18,255,99,0,158
16-May-2025 14:40:18,255,0,100,99
16-May-2025 14:40:19,109,32,0,80
16-May-2025 14:40:19,179,99,0,80
16-May-2025 14:40:19,251,99,0,27
16-May-2025 14:40:19,255,99,0,68
16-May-2025 14:40:19,115,0,100,111
16-May-2025 14:40:19,60,20,0,80
16-May-2025 14:40:19,128,72,0,89
16-May-2025 14:40:19,222,99,0,73
16-May-2025 14:40:19,255,100,0,186
16-May-2025 14:40:20,255,100,0,125
16-May-2025 14:40:20,255,99,0,37
16-May-2025 14:40:20,252,0,100,67
16-May-2025 14:40:20,120,21,0,229
16-May-2025 14:40:20,179,99,0,81
16-May-2025 14:40:20,255,100,0,123
