timestamp,speed,throttle,brake,rpm
16-May-2025 14:39:42,255,100,0,146
16-May-2025 14:39:43,192,0,100,27
16-May-2025 14:39:43,89,0,100,46
16-May-2025 14:39:43,126,80,0,119
16-May-2025 14:39:43,215,100,0,231
16-May-2025 14:39:43,143,0,100,20
16-May-2025 14:39:43,151,63,0,93
16-May-2025 14:39:43,225,100,0,86
16-May-2025 14:39:43,255,2,100,208
16-May-2025 14:39:43,100,10,0,187
16-May-2025 14:39:44,166,100,0,108
16-May-2025 14:39:44,239,100,0,111
16-May-2025 14:39:44,255,100,0,120
16-May-2025 14:39:44,255,100,0,157
16-May-2025 14:39:44,111,24,0,171
16-May-2025 14:39:44,166,100,0,56
16-May-2025 14:39:44,249,100,0,3
16-May-2025 14:39:44,255,99,0,83
16-May-2025 14:39:44,112,0,100,123
16-May-2025 14:39:44,62,28,0,191
16-May-2025 14:39:44,148,100,0,177
16-May-2025 14:39:45,237,100,0,245
16-May-2025 14:39:45,255,100,0,175
16-May-2025 14:39:45,255,99,0,202
16-May-2025 14:39:45,255,99,0,18
16-May-2025 14:39:45,255,99,0,105
16-May-2025 14:39:45,135,0,100,254
16-May-2025 14:39:45,166,100,0,190
16-May-2025 14:39:45,251,100,0,71
