timestamp,speed,throttle,brake,rpm
16-May-2025 10:00:34,255,100,0,168
16-May-2025 10:00:34,255,100,0,191
16-May-2025 10:00:34,255,100,0,150
16-May-2025 10:00:34,255,100,0,151
16-May-2025 10:00:34,104,0,100,57
16-May-2025 10:00:34,73,6,0,14
16-May-2025 10:00:34,170,100,0,122
16-May-2025 10:00:34,255,100,0,60
16-May-2025 10:00:35,255,100,0,147
16-May-2025 10:00:35,255,100,0,4
16-May-2025 10:00:35,255,100,0,30
16-May-2025 10:00:35,224,0,100,84
16-May-2025 10:00:35,119,54,0,50
16-May-2025 10:00:35,202,100,0,12
16-May-2025 10:00:35,255,44,100,200
16-May-2025 10:00:35,198,62,0,161
16-May-2025 10:00:35,252,100,0,194
16-May-2025 10:00:35,194,89,0,105
16-May-2025 10:00:36,255,100,0,211
16-May-2025 10:00:36,255,100,0,108
16-May-2025 10:00:36,255,100,0,151
16-May-2025 10:00:36,255,0,100,239
16-May-2025 10:00:36,206,100,0,216
16-May-2025 10:00:36,255,100,0,56
16-May-2025 10:00:36,255,100,0,243
16-May-2025 10:00:36,255,100,0,154
16-May-2025 10:00:36,255,100,0,201
16-May-2025 10:00:36,238,1,100,204
16-May-2025 10:00:37,218,96,0,194
16-May-2025 10:00:37,255,100,0,90
16-May-2025 10:00:37,255,100,0,63
