timestamp,speed,throttle,brake,rpm
21-May-2025 20:12:54,255,100,0,0
21-May-2025 20:12:55,184,0,100,195
21-May-2025 20:12:55,91,0,0,221
21-May-2025 20:12:55,106,68,0,102
21-May-2025 20:12:55,213,100,0,113
21-May-2025 20:12:55,147,0,100,192
21-May-2025 20:12:55,163,64,0,129
21-May-2025 20:12:55,219,100,0,220
21-May-2025 20:12:55,255,100,0,85
21-May-2025 20:12:55,127,0,100,64
21-May-2025 20:12:55,132,72,0,128
21-May-2025 20:12:56,212,100,0,63
21-May-2025 20:12:56,255,100,0,82
21-May-2025 20:12:56,255,100,0,178
21-May-2025 20:12:56,130,0,100,114
21-May-2025 20:12:56,172,100,0,14
21-May-2025 20:12:56,238,100,0,17
21-May-2025 20:12:56,255,100,0,136
21-May-2025 20:12:56,255,3,100,87
21-May-2025 20:12:56,65,0,0,133
21-May-2025 20:12:56,167,100,0,137
21-May-2025 20:12:57,240,100,0,189
21-May-2025 20:12:57,255,100,0,50
21-May-2025 20:12:57,255,100,0,47
21-May-2025 20:12:57,255,100,0,238
21-May-2025 20:12:57,255,99,0,34
21-May-2025 20:12:57,134,87,0,242
21-May-2025 20:12:57,203,100,0,154
21-May-2025 20:12:57,255,100,0,112
