timestamp,speed,throttle,brake,rpm
21-May-2025 20:12:30,255,99,0,18
21-May-2025 20:12:30,179,8,100,8
21-May-2025 20:12:30,103,1,100,117
21-May-2025 20:12:30,117,77,0,86
21-May-2025 20:12:30,218,99,0,7
21-May-2025 20:12:30,238,5,100,121
21-May-2025 20:12:30,129,57,0,78
21-May-2025 20:12:30,205,99,0,81
21-May-2025 20:12:31,255,100,0,226
21-May-2025 20:12:31,152,1,100,255
21-May-2025 20:12:31,116,76,0,106
21-May-2025 20:12:31,196,100,0,102
21-May-2025 20:12:31,255,99,0,156
21-May-2025 20:12:31,255,99,0,221
21-May-2025 20:12:31,171,3,100,85
21-May-2025 20:12:31,131,75,100,36
21-May-2025 20:12:31,215,100,0,215
21-May-2025 20:12:32,255,99,0,192
21-May-2025 20:12:32,255,99,0,207
21-May-2025 20:12:32,63,1,0,253
21-May-2025 20:12:32,122,86,0,228
21-May-2025 20:12:32,238,99,0,12
21-May-2025 20:12:32,255,99,0,249
21-May-2025 20:12:32,255,99,0,80
21-May-2025 20:12:32,255,99,0,184
21-May-2025 20:12:32,255,99,0,231
21-May-2025 20:12:32,129,9,0,99
21-May-2025 20:12:32,193,99,0,218
21-May-2025 20:12:33,255,99,0,103
