timestamp,speed,throttle,brake,rpm
21-May-2025 20:12:25,255,100,0,66
21-May-2025 20:12:25,161,0,100,114
21-May-2025 20:12:25,86,0,0,8
21-May-2025 20:12:25,116,69,0,46
21-May-2025 20:12:25,211,100,0,197
21-May-2025 20:12:25,186,0,100,138
21-May-2025 20:12:25,155,50,0,28
21-May-2025 20:12:26,230,100,0,139
21-May-2025 20:12:26,255,53,0,112
21-May-2025 20:12:26,107,0,0,164
21-May-2025 20:12:26,146,73,0,90
21-May-2025 20:12:26,233,100,0,179
21-May-2025 20:12:26,255,100,0,36
21-May-2025 20:12:26,255,100,0,20
21-May-2025 20:12:26,122,0,0,56
21-May-2025 20:12:26,181,100,0,185
21-May-2025 20:12:26,249,100,0,26
21-May-2025 20:12:27,255,100,0,26
21-May-2025 20:12:27,187,0,100,9
21-May-2025 20:12:27,54,13,0,182
21-May-2025 20:12:27,122,92,0,63
21-May-2025 20:12:27,220,100,0,199
21-May-2025 20:12:27,255,100,0,32
21-May-2025 20:12:27,255,100,0,113
21-May-2025 20:12:27,255,100,0,209
21-May-2025 20:12:27,255,0,100,154
21-May-2025 20:12:27,130,38,0,244
21-May-2025 20:12:28,219,100,0,177
21-May-2025 20:12:28,255,100,0,126
