timestamp,speed,throttle,brake,rpm
16-May-2025 14:40:02,255,100,0,175
16-May-2025 14:40:02,151,0,100,228
16-May-2025 14:40:02,83,0,0,172
16-May-2025 14:40:03,100,69,0,4
16-May-2025 14:40:03,218,100,0,80
16-May-2025 14:40:03,137,15,0,165
16-May-2025 14:40:03,189,100,0,93
16-May-2025 14:40:03,254,100,0,227
16-May-2025 14:40:03,185,0,100,88
16-May-2025 14:40:03,100,45,0,161
16-May-2025 14:40:03,180,100,0,40
16-May-2025 14:40:03,238,100,0,104
16-May-2025 14:40:04,255,100,0,75
16-May-2025 14:40:04,229,0,100,154
16-May-2025 14:40:04,124,74,0,70
16-May-2025 14:40:04,193,100,0,10
16-May-2025 14:40:04,255,100,0,236
16-May-2025 14:40:04,255,100,0,141
16-May-2025 14:40:04,97,0,100,200
16-May-2025 14:40:04,67,38,0,218
16-May-2025 14:40:04,176,100,0,110
16-May-2025 14:40:04,240,100,0,38
16-May-2025 14:40:04,255,100,0,255
16-May-2025 14:40:05,255,100,0,48
16-May-2025 14:40:05,255,100,0,147
16-May-2025 14:40:05,255,0,100,5
16-May-2025 14:40:05,121,41,0,217
16-May-2025 14:40:05,205,100,0,46
16-May-2025 14:40:05,255,100,0,230
