timestamp,speed,throttle,brake,rpm
21-May-2025 20:12:49,255,99,0,144
21-May-2025 20:12:50,155,0,100,249
21-May-2025 20:12:50,88,0,100,68
21-May-2025 20:12:50,116,63,0,82
21-May-2025 20:12:50,214,99,0,81
21-May-2025 20:12:50,149,0,100,105
21-May-2025 20:12:50,165,85,0,121
21-May-2025 20:12:50,244,99,0,132
21-May-2025 20:12:50,221,0,100,209
21-May-2025 20:12:50,103,42,0,22
21-May-2025 20:12:51,198,99,0,30
21-May-2025 20:12:51,255,98,0,60
21-May-2025 20:12:51,255,98,0,125
21-May-2025 20:12:51,154,0,100,84
21-May-2025 20:12:51,146,77,0,103
21-May-2025 20:12:51,231,98,0,174
21-May-2025 20:12:51,255,98,0,197
21-May-2025 20:12:51,213,0,100,116
21-May-2025 20:12:51,69,0,100,8
21-May-2025 20:12:51,80,48,0,58
21-May-2025 20:12:52,189,98,0,253
21-May-2025 20:12:52,255,98,0,213
21-May-2025 20:12:52,255,98,0,47
21-May-2025 20:12:52,255,98,0,194
21-May-2025 20:12:52,255,99,0,160
21-May-2025 20:12:52,255,0,100,192
21-May-2025 20:12:52,139,48,0,247
21-May-2025 20:12:52,238,98,0,123
21-May-2025 20:12:52,255,98,0,201
