timestamp,speed,throttle,brake,rpm
16-May-2025 14:39:28,255,98,0,61
16-May-2025 14:39:28,158,0,100,49
16-May-2025 14:39:28,89,0,100,197
16-May-2025 14:39:28,96,58,0,9
16-May-2025 14:39:28,189,99,0,19
16-May-2025 14:39:28,228,0,100,55
16-May-2025 14:39:28,131,48,0,247
16-May-2025 14:39:28,201,98,0,207
16-May-2025 14:39:29,255,98,0,128
16-May-2025 14:39:29,148,0,100,193
16-May-2025 14:39:29,111,67,0,164
16-May-2025 14:39:29,205,99,0,181
16-May-2025 14:39:29,255,98,0,74
16-May-2025 14:39:29,255,98,0,41
16-May-2025 14:39:29,127,0,100,56
16-May-2025 14:39:29,151,89,0,30
16-May-2025 14:39:29,232,98,0,171
16-May-2025 14:39:29,255,98,0,39
16-May-2025 14:39:30,89,1,100,240
16-May-2025 14:39:30,74,45,0,27
16-May-2025 14:39:30,194,99,0,78
16-May-2025 14:39:30,255,99,0,161
16-May-2025 14:39:30,255,98,0,168
16-May-2025 14:39:30,255,98,0,174
16-May-2025 14:39:30,255,86,0,157
16-May-2025 14:39:30,129,7,0,0
16-May-2025 14:39:30,179,99,0,13
16-May-2025 14:39:30,255,98,0,139
