timestamp,speed,throttle,brake,rpm
16-May-2025 14:39:23,255,100,0,0
16-May-2025 14:39:23,184,0,100,195
16-May-2025 14:39:23,91,0,0,221
16-May-2025 14:39:23,106,68,0,102
16-May-2025 14:39:23,213,100,0,113
16-May-2025 14:39:23,147,0,100,192
16-May-2025 14:39:23,163,64,0,129
16-May-2025 14:39:23,219,100,0,220
16-May-2025 14:39:24,255,100,0,85
16-May-2025 14:39:24,127,0,100,64
16-May-2025 14:39:24,132,72,0,128
16-May-2025 14:39:24,212,100,0,63
16-May-2025 14:39:24,255,100,0,82
16-May-2025 14:39:24,255,100,0,178
16-May-2025 14:39:24,130,0,100,114
16-May-2025 14:39:24,172,100,0,14
16-May-2025 14:39:24,238,100,0,17
16-May-2025 14:39:25,255,100,0,136
16-May-2025 14:39:25,255,3,100,87
16-May-2025 14:39:25,65,0,0,133
16-May-2025 14:39:25,167,100,0,137
16-May-2025 14:39:25,240,100,0,189
16-May-2025 14:39:25,255,100,0,50
16-May-2025 14:39:25,255,100,0,47
16-May-2025 14:39:25,255,100,0,238
16-May-2025 14:39:25,255,99,0,34
16-May-2025 14:39:25,134,87,0,242
16-May-2025 14:39:26,203,100,0,154
16-May-2025 14:39:26,255,100,0,112
