timestamp,speed,throttle,brake,rpm
16-May-2025 14:40:12,255,99,0,102
16-May-2025 14:40:12,172,0,100,244
16-May-2025 14:40:13,100,0,100,14
16-May-2025 14:40:13,118,70,0,247
16-May-2025 14:40:13,223,99,0,69
16-May-2025 14:40:13,153,0,100,187
16-May-2025 14:40:13,148,49,0,200
16-May-2025 14:40:13,234,99,0,3
16-May-2025 14:40:13,255,99,0,49
16-May-2025 14:40:13,106,1,0,94
16-May-2025 14:40:13,162,78,0,136
16-May-2025 14:40:13,231,99,0,53
16-May-2025 14:40:14,255,99,0,34
16-May-2025 14:40:14,255,0,100,199
16-May-2025 14:40:14,134,64,0,78
16-May-2025 14:40:14,214,99,0,179
16-May-2025 14:40:14,255,99,0,230
16-May-2025 14:40:14,255,99,100,49
16-May-2025 14:40:14,77,0,100,148
16-May-2025 14:40:14,94,56,0,84
16-May-2025 14:40:14,198,99,0,205
16-May-2025 14:40:14,252,99,0,106
16-May-2025 14:40:15,255,99,0,179
16-May-2025 14:40:15,255,99,0,141
16-May-2025 14:40:15,255,98,0,104
16-May-2025 14:40:15,159,0,100,191
16-May-2025 14:40:15,144,83,0,218
16-May-2025 14:40:15,241,99,0,248
16-May-2025 14:40:15,255,98,0,221
