timestamp,speed,throttle,brake,rpm
16-May-2025 14:38:48,255,100,0,15
16-May-2025 14:38:48,211,0,100,88
16-May-2025 14:38:49,101,0,100,2
16-May-2025 14:38:49,121,72,0,218
16-May-2025 14:38:49,200,100,0,127
16-May-2025 14:38:49,242,100,0,68
16-May-2025 14:38:49,126,36,0,133
16-May-2025 14:38:49,200,100,0,175
16-May-2025 14:38:49,255,100,0,131
16-May-2025 14:38:49,165,0,100,57
16-May-2025 14:38:49,108,67,0,73
16-May-2025 14:38:49,188,100,0,251
16-May-2025 14:38:50,255,100,0,102
16-May-2025 14:38:50,255,100,0,3
16-May-2025 14:38:50,206,0,100,215
16-May-2025 14:38:50,136,71,0,39
16-May-2025 14:38:50,206,100,0,94
16-May-2025 14:38:50,255,100,0,234
16-May-2025 14:38:50,199,0,100,142
16-May-2025 14:38:50,62,0,0,141
16-May-2025 14:38:50,136,81,0,76
16-May-2025 14:38:50,232,100,0,52
16-May-2025 14:38:51,255,100,0,59
16-May-2025 14:38:51,255,100,0,76
16-May-2025 14:38:51,255,100,0,34
16-May-2025 14:38:51,255,100,0,119
16-May-2025 14:38:51,125,3,0,23
16-May-2025 14:38:51,172,100,0,102
16-May-2025 14:38:51,255,100,0,245
