timestamp,speed,throttle,brake,rpm
16-May-2025 10:01:30,255,100,0,79
16-May-2025 10:01:30,255,100,0,246
16-May-2025 10:01:30,255,100,0,194
16-May-2025 10:01:30,255,100,0,197
16-May-2025 10:01:30,113,0,100,156
16-May-2025 10:01:31,70,21,0,125
16-May-2025 10:01:31,161,100,0,35
16-May-2025 10:01:31,248,100,0,87
16-May-2025 10:01:31,255,100,0,225
16-May-2025 10:01:31,255,100,0,148
16-May-2025 10:01:31,255,100,0,17
16-May-2025 10:01:31,255,0,100,177
16-May-2025 10:01:31,113,0,0,84
16-May-2025 10:01:31,173,100,0,139
16-May-2025 10:01:31,249,100,0,70
16-May-2025 10:01:31,192,18,0,152
16-May-2025 10:01:32,234,100,0,143
16-May-2025 10:01:32,192,0,100,78
16-May-2025 10:01:32,215,100,0,112
16-May-2025 10:01:32,255,100,0,22
16-May-2025 10:01:32,255,100,0,228
16-May-2025 10:01:32,255,100,0,85
16-May-2025 10:01:32,255,0,100,60
16-May-2025 10:01:32,195,84,0,12
16-May-2025 10:01:32,245,100,0,28
16-May-2025 10:01:33,255,100,0,161
16-May-2025 10:01:33,255,100,0,2
16-May-2025 10:01:33,255,100,0,117
16-May-2025 10:01:33,255,0,100,165
16-May-2025 10:01:33,207,82,0,176
16-May-2025 10:01:33,255,100,0,39
16-May-2025 10:01:33,255,100,0,83
